UBIDPTO,REGION,ZONA,OCU,INFORM,SEXO,GEDUC,AEDUC,AEDAD,AEDAD2,WS,LWS,EXP,EXP2
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,7,49,2401,328.5202779285387,5.7945985648735165,24,576
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,9,40,1600,206.9696929016223,5.332572371442943,4,16
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,67,4489,73.45199442301829,4.2966320557300435,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,32,1024,70.40268186080944,4.254231357052186,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,41,1681,181.98067234465287,5.20390048552911,8,64
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,13,37,1369,800.2048217494616,6.684867722085388,1,1
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,37,1369,218.22721789543735,5.38553680391236,1.7,2.8899999999999997
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,44,1936,588.4597903070216,6.377508598634538,10,100
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,38,1444,281.59154937680876,5.640457614518289,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,76,5776,295.20797654138914,5.687680113165426,35,1225
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,12,24,576,404.9832287809079,6.003845655831593,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,9,50,2500,351.30134867354906,5.861644398357919,20,400
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,51,2601,445.2379902153505,6.0986089486793205,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,28,784,608.9844229451661,6.411792689296017,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,26,676,234.6628208250788,5.458149678826145,3.2,10.240000000000002
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,24,576,574.8050070095833,6.354030865039553,1.5,2.25
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,12,26,676,572.4652829052469,6.3499520923761,2.1,4.41
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,63,3969,676.5830055482146,6.517055138603159,32,1024
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. NO UNIV.,16,54,2916,246.3997974796185,5.506955409741894,12,144
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,13,32,1024,82.63828824250282,4.41447311117119,3,9
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. NO UNIV.,14,30,900,15.726014471768929,2.7553163138136503,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,49,2401,305.0655026858882,5.720526516453711,0.3,0.09
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,56,3136,216.7313287139764,5.378658469915502,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,51,2601,305.0655026858882,5.720526516453711,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,46,2116,315.325768225396,5.75360628926743,2,4
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,28,784,253.57239432405947,5.535649361448875,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,26,676,469.21057325158364,6.151051651162213,3,9
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,17,289,107.18621327160554,4.67456763282505,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,18,59,3481,1739.2281295727703,7.461196690093538,20,400
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,18,58,3364,469.3256416501576,6.151296859386091,20,400
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,17,28,784,536.6022986830422,6.285257221774824,1.8,3.24
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,24,576,117.3314104125394,4.7650024982662,1.5,2.25
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,41,1681,1094.7223878994073,6.998256083074685,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,38,1444,41.29037702160793,3.7206294709197145,7,49
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,32,1024,81.90952171820133,4.4056152443968175,0.3,0.09
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,17,61,3721,793.837703695038,6.67687903694716,25,625
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,80,6400,340.1915172655338,5.829508745099255,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,18,47,2209,1771.6889547762016,7.479688582335224,0.7,0.48999999999999994
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,18,43,1849,413.8818516039576,6.025580550496815,13,169
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,12,42,1764,750.2076025690939,6.620349971652814,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,66,4356,192.41354048202152,5.259646912480964,20,400
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,13,26,676,218.22721789543735,5.38553680391236,4,16
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,PRIMARIA,3,71,5041,709.8569508025063,6.565063471993045,42,1764
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,66,4356,1563.9137830845618,7.354946793680757,35,1225
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,3,40,1600,242.66007452596617,5.491661593744615,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. NO UNIV.,14,46,2116,140.80536372161887,4.947378537612131,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,26,676,924.8238974050158,6.82960333820386,0.4,0.16000000000000003
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,26,676,1096.678550675164,7.000041391514506,1.2,1.44
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,16,42,1764,70.40268186080944,4.254231357052186,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,15,23,529,238.61350250945,5.4748450986303165,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,33,1089,233.5121368393396,5.453234053656819,0.7,0.48999999999999994
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,52,2704,755.596639235639,6.627507687808621,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,27,729,68.52323135076875,4.227172831578761,1,1
